username,distinct_play_days,total_valid_betting,last_play_date,days_since_last_play,status
ji3107,226,264716.0,2025-04-26,22,활성
pf3001,46,264312.0,2025-05-07,11,활성
un03,8,263427.0,2022-07-16,1037,휴면
pa2018,29,261559.0,2023-08-02,655,휴면
lia103,16,259523.20025634766,2022-09-15,976,휴면
obhn2003,181,258937.3900756836,2025-05-08,10,활성
mdyaw006,23,256800.0,2025-04-30,18,활성
ya3125,65,256792.0,2025-03-07,72,휴면
cc2030,7,256541.0,2023-01-11,858,휴면
uh2008,113,255000.0,2023-06-10,708,휴면
pa018,34,254676.6509399414,2022-08-03,1019,휴면
mdpsw001,15,252705.5,2025-04-12,36,휴면
jua243,12,251440.0,2022-03-01,1174,휴면
ug3002,28,251046.0,2025-03-15,64,휴면
pplw009,12,250600.0,2022-10-05,956,휴면
yi3803,75,242353.0,2025-05-03,15,활성
uu013,33,242296.65161132812,2022-07-14,1039,휴면
lia03,29,239151.5009765625,2022-09-18,973,휴면
yi2175,43,237150.0,2023-08-23,634,휴면
abyia987,21,237070.0,2023-10-26,570,휴면
abli006,11,236061.37426757812,2024-07-13,309,휴면
ubw004,23,233900.0,2024-01-28,476,휴면
dd2003,8,232273.0,2023-09-17,609,휴면
jua126,7,230880.0,2022-06-05,1078,휴면
cea104,69,230085.65002441406,2022-08-20,1002,휴면
jua205,9,227146.5,2022-03-15,1160,휴면
pw003,78,223084.60005187988,2022-05-23,1091,휴면
abyy3803,13,221966.0,2024-07-31,291,휴면
jua238,10,219139.3984375,2021-11-16,1279,휴면
ue01,7,214119.85009765625,2022-07-19,1034,휴면
pplw011,13,213482.5,2025-03-22,57,휴면
jua200,31,213145.7998046875,2022-05-21,1093,휴면
yiw007,15,212082.76904296875,2023-06-01,717,휴면
yaa202,20,210982.849609375,2022-07-03,1050,휴면
ji3105,32,210977.0,2025-05-08,10,활성
mdttw001,10,209111.0,2025-05-08,10,활성
mdssw011,10,208600.0,2025-01-25,113,휴면
yaa189,19,207086.89990234375,2022-09-08,983,휴면
mdeew804,23,206300.0,2025-02-25,82,휴면
uh008,101,203347.25,2022-09-21,970,휴면
uq3809,81,203254.0,2025-02-20,87,휴면
abyia001,29,199274.0,2024-08-22,269,휴면
hn2002,40,199087.94903564453,2022-10-10,951,휴면
uu04,10,195250.849609375,2022-05-02,1112,휴면
ya2004,20,194200.0,2023-12-08,527,휴면
pf009,38,189375.55053710938,2022-08-12,1010,휴면
kk2101,15,188783.0,2022-12-20,880,휴면
cea101,17,187417.2998046875,2021-11-24,1271,휴면
pfw002,27,187300.0,2023-12-01,534,휴면
ja3003,29,186808.0,2025-05-07,11,활성
qub2025,10,186780.0,2023-07-10,678,휴면
abff001,48,184367.0,2024-11-20,179,휴면
abya157,37,183604.52880859375,2023-05-29,720,휴면
qhn2003,74,182257.0,2023-04-23,756,휴면
ph3007,24,180946.0,2025-05-05,13,활성
qja3124,41,180363.0,2025-03-12,67,휴면
mdyyw003,24,180288.5997314453,2024-09-30,230,휴면
um002,28,180277.0,2022-05-20,1094,휴면
uu010,26,180079.3504638672,2022-04-01,1143,휴면
ju3801,59,179709.0,2025-04-23,25,활성
jua195,21,177454.95141601562,2022-06-01,1082,휴면
ppl05,7,176977.599609375,2022-10-04,957,휴면
abhh001,8,176484.0,2024-02-15,458,휴면
mduqw311,10,175652.30078125,2025-01-24,114,휴면
ee3802,30,175287.0,2024-03-21,423,휴면
qya3200,10,173347.0,2025-01-14,124,휴면
mdyaw001,20,173100.0,2025-03-19,60,휴면
bmm3801,45,171517.0,2025-05-04,14,활성
qkk2502,7,169050.0,2023-05-24,725,휴면
qpy2001,7,168473.0,2023-02-28,810,휴면
uq3806,9,167560.0,2025-01-12,126,휴면
ya3195,18,165988.0,2024-03-06,438,휴면
ya2125,50,165281.0,2023-10-18,578,휴면
xji3801,15,164752.39904785156,2024-10-18,212,휴면
obun003,7,163598.7509765625,2025-03-12,67,휴면
sgg01,17,162992.34999847412,2025-04-18,30,활성
ug2005,10,162722.0,2023-10-18,578,휴면
ya3004,25,161502.0,2025-03-23,56,휴면
ya3803,25,160439.0,2025-03-16,63,휴면
uiw012,8,156357.39960956573,2023-02-03,835,휴면
li2001,11,156304.0,2023-11-08,557,휴면
li3103,10,155827.0,2024-08-25,266,휴면
mdunw001,9,154033.0,2025-04-06,42,휴면
xua3024,21,153451.15002441406,2025-04-30,18,활성
hna125,12,153384.99682617188,2022-09-13,978,휴면
uq05,7,152217.798828125,2022-07-18,1035,휴면
ue018,11,151888.0,2022-06-22,1061,휴면
hn2134,153,151375.0,2023-11-26,539,휴면
pplw007,14,147600.0,2023-03-17,793,휴면
uk3009,29,144878.0,2025-05-08,10,활성
pd2071,13,143600.72985839844,2022-11-22,908,휴면
qya2501,48,143161.0,2023-01-30,839,휴면
xja3193,13,141318.13980865479,2024-10-13,217,휴면
ucc002,49,140712.0,2022-04-05,1139,휴면
ppl03,10,140554.1484375,2022-09-24,967,휴면
ee3801,15,140475.0,2024-12-26,143,휴면
qpf2004,126,139430.0,2023-07-31,657,휴면
qkk2501,41,139194.0,2023-08-16,641,휴면
xhn3809,26,136157.0,2025-05-07,11,활성
yia02,35,136028.40029907227,2022-10-04,957,휴면
qji2502,23,135688.0,2023-11-01,564,휴면
ppl112,12,135642.00122070312,2022-09-20,971,휴면
pc01,18,134916.10009765625,2022-09-05,986,휴면
ub006,10,133995.10083007812,2022-09-13,978,휴면
ujj02,8,133163.349609375,2022-08-22,1000,휴면
up003,7,132948.052734375,2022-03-07,1168,휴면
pk4a103,13,130565.80078125,2022-07-16,1037,휴면
yaa201,30,129722.99975585938,2022-01-21,1213,휴면
ub2019,27,129170.0,2022-11-29,901,휴면
juaw001,9,126000.0,2022-10-13,948,휴면
abhn001,13,125466.8994140625,2023-06-25,693,휴면
yaa129,9,124919.5498046875,2021-12-13,1252,휴면
hna123,11,123114.64770507812,2022-09-14,977,휴면
yaa203,29,123003.34997558594,2022-06-22,1061,휴면
ablea101,52,122704.87003707886,2024-08-22,269,휴면
ug01,13,122648.0,2022-08-09,1013,휴면
quh2501,12,122468.0,2022-12-31,869,휴면
xhn3101,34,121841.400390625,2025-04-30,18,활성
syi21,9,121700.00136184692,2025-04-16,32,휴면
pa013,18,121041.50048828125,2022-08-02,1020,휴면
pva026,8,118241.701171875,2021-12-09,1256,휴면
abdd001,8,117831.88015556335,2024-01-03,501,휴면
uq2002,118,116847.0,2024-09-11,249,휴면
uhh01,8,116141.88159179688,2022-07-28,1025,휴면
ja3103,18,114857.0,2025-03-18,61,휴면
xuz3801,42,113555.349609375,2025-04-02,46,휴면
up004,19,112514.3505859375,2022-03-27,1148,휴면
abnn002,7,112397.0,2024-08-15,276,휴면
kk3106,154,112257.0,2025-05-07,11,활성
xuk3003,31,111412.0,2025-04-28,20,활성
abua003,19,110342.19921875,2023-11-09,556,휴면
xji3105,30,109840.75,2024-06-14,338,휴면
uh001,9,108489.64965820312,2022-02-18,1185,휴면
hnw007,67,107422.0,2023-08-28,629,휴면
yiw005,14,107092.37939453125,2023-06-14,704,휴면
pi3811,9,106234.0,2025-05-08,10,활성
hna117,14,105939.5,2022-05-19,1095,휴면
pc2007,60,105040.29992675781,2023-12-17,518,휴면
abya312,8,104696.0,2024-02-07,466,휴면
pa2003,13,103106.0,2023-09-24,602,휴면
un01,10,102651.19921875,2022-03-26,1149,휴면
gg3002,20,102601.0,2025-04-11,37,휴면
ua2028,18,102413.0,2023-02-20,818,휴면
ub2001,8,101518.0,2023-01-30,839,휴면
qhn2134,91,99043.0,2023-06-28,690,휴면
ff2001,38,98045.75,2023-02-03,835,휴면
yaa04,18,97939.400390625,2022-05-26,1088,휴면
ya3191,15,97176.0,2025-05-07,11,활성
qya2502,39,96007.0,2023-02-20,818,휴면
un3804,24,95526.0,2025-03-12,67,휴면
yaa186,18,95472.24870300293,2022-07-23,1030,휴면
xgg3801,18,95207.93853759766,2024-08-02,289,휴면
pf003,34,94968.39929199219,2022-09-22,969,휴면
xja3801,15,93707.599609375,2025-01-09,129,휴면
ja3168,14,92834.0,2025-04-26,22,활성
uaa008,10,92206.98046875,2022-05-01,1113,휴면
zha106,8,92052.04931640625,2022-09-08,983,휴면
jiw105,44,91748.22997379303,2024-06-17,335,휴면
quh3002,64,91696.0,2025-03-08,71,휴면
ya3180,28,90894.0,2025-04-02,46,휴면
mdjaw006,26,89880.390209198,2024-12-19,150,휴면
abdd205,24,89590.5,2024-06-21,331,휴면
uq3802,25,89300.0,2024-12-06,163,휴면
hna134,30,88426.09944152832,2022-09-27,964,휴면
jaw205,21,86800.0,2023-04-28,751,휴면
xua105,18,85899.5,2022-08-15,1007,휴면
ja3140,15,84952.0,2025-01-27,111,휴면
kk2105,104,84685.0,2023-06-09,709,휴면
yi2148,23,83852.39978027344,2023-12-19,516,휴면
xja3851,11,83432.80078125,2025-04-12,36,휴면
ji2001,20,83030.0,2023-06-18,700,휴면
yi2002,34,82986.0,2023-02-07,831,휴면
ug3005,7,81567.0,2025-03-01,78,휴면
ui035,8,76564.59899902344,2022-02-04,1199,휴면
abja001,56,75900.30078125,2024-06-11,341,휴면
ja3146,14,75253.0,2024-03-20,424,휴면
mdhhw002,16,75074.0,2024-07-27,295,휴면
plw003,27,75000.0,2024-02-02,471,휴면
qya3501,30,74855.0,2025-01-13,125,휴면
uhw008,60,74200.0,2023-06-10,708,휴면
lia104,32,72664.5,2022-09-17,974,휴면
gg3803,15,72247.0,2025-02-17,90,휴면
mm3802,12,71746.0,2025-01-23,115,휴면
xuh3801,8,70858.0,2024-06-05,347,휴면
jua206,9,68946.75039672852,2021-12-04,1261,휴면
mdudw003,31,68440.60009765625,2025-04-30,18,활성
ua011,8,65178.2509765625,2022-08-18,1004,휴면
obji3805,8,64674.40002441406,2025-03-11,68,휴면
mdupw003,19,62724.12002182007,2025-04-13,35,휴면
xuq3803,10,62356.14990234375,2024-10-29,201,휴면
ji3808,10,62332.0,2025-04-30,18,활성
mdugw004,7,62200.0,2024-04-15,398,휴면
yaa01,10,60542.199951171875,2022-04-04,1140,휴면
ud3001,14,59315.0,2025-04-30,18,활성
yi3148,11,59273.0,2025-04-09,39,휴면
xja3197,12,58172.0,2025-02-22,85,휴면
yi2165,9,57945.5,2022-12-06,894,휴면
hn3803,11,56540.0,2024-06-07,345,휴면
abuq802,11,56226.099609375,2024-08-16,275,휴면
ud3802,28,56174.0,2025-02-24,83,휴면
uh3022,22,54422.0,2024-03-31,413,휴면
xji3104,10,54098.400390625,2024-11-29,170,휴면
ja3106,18,53324.0,2025-05-06,12,활성
xug3001,13,52584.298828125,2025-01-12,126,휴면
kk3801,25,52532.0,2023-12-06,529,휴면
nn3801,9,50289.0,2025-01-12,126,휴면
